Year,SST1,SST2,SST3,species,catch
1986,5.542805345,6.128771114,6.167040696,Sockeye,0.696955576
1987,6.714736883,6.41222114,6.122415875,Sockeye,0.589875916
1988,6.109705396,5.757621094,6.07665969,Sockeye,0.967257353
1989,5.405536791,5.463681274,5.679022648,Sockeye,0.921523328
1990,5.521825757,5.398600946,5.400912894,Sockeye,1.543345696
1991,5.275376134,5.544373164,5.536857361,Sockeye,1.293003734
1992,5.813370193,5.686728425,5.549610995,Sockeye,0.674524055
1993,5.560086657,5.939950683,5.897757186,Sockeye,0.870429017
1994,6.319814708,5.774553834,5.703064775,Sockeye,1.179952543
1995,5.22929296,5.359338933,5.679497525,Sockeye,0.968605408
1996,5.489384906,5.464606812,5.386168861,Sockeye,0.27544542
1997,5.439828718,5.931343515,5.784023979,Sockeye,1.023869314
1998,6.422858311,6.271075727,5.993993391,Sockeye,0.181276542
1999,6.119293143,5.722382434,5.955874393,Sockeye,0.219535125
2000,5.325471726,5.671765514,5.82094139,Sockeye,0.031000687
2001,6.018059302,5.707251554,5.579991612,Sockeye,0.725165139
2002,5.396443806,6.167269295,6.117532631,Sockeye,0.905664521
2003,6.938094784,6.414977434,6.075466225,Sockeye,0.851407765
2004,5.891860084,5.892401458,6.2409659,Sockeye,0.132396029
2005,5.892942831,5.83823334,5.856108921,Sockeye,0.664152621
2006,5.783523848,5.486141241,5.621741771,Sockeye,-0.117653693
2007,5.188758634,5.166726227,5.372325434,Sockeye,-0.012142163
2008,5.144693819,5.049024777,5.095602729,Sockeye,-0.028591579
2009,4.953355734,5.35126917,5.28241072,Sockeye,1.018058319
2010,5.749182606,5.732218415,5.472597521,Sockeye,0.648656663
2011,5.715254224,5.310382,5.456648869,Sockeye,0.569168393
2012,4.905509777,5.222226702,5.386569209,Sockeye,0.495147277
2013,5.538943628,5.775592495,5.485564922,Sockeye,0.860670872
2014,6.012241361,6.5648141,6.222857276,Sockeye,0.508817016
2015,7.117386838,6.972531136,6.652434545,Sockeye,0.19491139
2016,6.827675434,6.690027676,6.83248073,Sockeye,-0.857991713
2017,6.552379918,6.368290843,6.52141904,Sockeye,-0.021018038
2018,6.184201769,6.620970331,6.59810686,Sockeye,NA
2019,7.057738893,NA,NA,Sockeye,NA
